shughni	easy_shughni	variant	fem	pst	pst.f	pst.pl	Зsg.prs	ptcp	ptcp.f	ptcp.pl	inf	plural	pl.variant	russian	example	comment
mard	mard													мужчина; человек	a-rō, tu na nāw, tú-tā mard! послушай, не плачь, ты ведь мужчина! a nān, aǰáb márd-at tu, kurtā́-ta wuz turd kinúm матушка, что ты за странный человек (что ты напрасно расстраиваешься), я сделаю тебе платье	обычно в сочетаниях и производных именах
mard-ōzimōyíx̌	mard-ozimoyix,mard-ozimoyixi	mard-ōzimōyix̌í												состязание, соревнование		
mardikṓr	mardikor													чернорабочий, работник		
mardikōrí	mardikori													черная работа, профессия чернорабочего, поденщина	mardikōrí čīdṓw быть чернорабочим; mardikōrí sittṓw наняться чернорабочим; mu tāt tōbistů́n-ǰḗv-i ar wurús qalā́ mardikōrí čūd mḗθ-and yī́w-at nīm tangā́-ti мой отец работал летом в русской крепости за полторы теньги в день	
mardīnā́	mardina,mardinagun											mardīnagů́n		мужчина		
mardúm	mardum													люди, народ		
marɣōví	marɣovi													утка		
markā́	marka													марка	markáyi 15 tīní пятнадцатикопеечная марка	(нов. )
markā́b	markab													осел, ослица	narxar markā́b, nīr markā́b осел (самец); yu nar markā́b as mōdā́ markā́bi wīnt xu, bād daráw aɣd sut тот осел увидел ослицу и заревел	ж.
markáz	markaz													центр, столица	tō pi markázēc до центра	(нов. )
marṓd	marod,murod	murṓd												желание, намерение, цель		
marů́b	marub													сливки	marůb-bā́t кисель на сливках; marůb-rūɣán сливочное масло	
marů́d	marud													груша		ж.
marwát	marwat													винт	ba marwát kōr čīdṓw делать дело хорошо, как следует	
marwōrí	marwori													жемчуг		
masál	masal													пример, пословица, поговорка	mam masál-um as xu dōd x̌uðǰ эту пословицу я услышал от отца	ж.
masalā́	masala													вопрос, задача		(нов. )
masalánd	masaland,masalan,masalo	masalán, masalṓ												например		
masǰít	masjit													мечеть		
maskā́	maska													свежее (нетопленое) масло		ж.
Maskṓw	Maskow													Москва		
masqarā́	masqara													насмешка, шутка	masqarā́ čīdṓw насмехаться, сыграть шутку	
mast	mast													пьяный, опьяненный, хмельной		
mastár	mastar													транспарант с линейками		
mōmák	momak													мой дядя		 (<mu amák)
mṓzi digár	mozi digar													послеполуденная молитва		
na-bōft	na-boft													нельзя, невозможно	agá tu x̌aǰḗn bā́fēn, murd dāk, wuz čêríʒ kinúm если твои быки смогут (работать), дай их мне, я буду пахать	
ṓbi dīdā́	obi dida													слеза		
ōftṓb-barōmád	oftob-baromad													восток, восход солнца		
pêx ancāvī́ǰ	pex ancavij													сапожник		
pēx̌-ráv atrát	pex-rav atrat													авангард		
pirṓ ðêdṓw	piro ðedow													опережать		
pōr ðêdṓw	por ðedow													переправляться	agár yu wi-rūyā́ pōr ca ðēd, xu mōl qimmát par ðid если он перейдет на ту сторону, он дорого продаст свой товар	
půn-divēsī́ǰ	pun-divesij													проводник		
pūx̌ṓk ancāvī́ǰ	puxok ancavij													швея, портниха, портной		
qastín anǰīvdṓw	qastin anjivdow													бороться		
qulf ðêdṓw	qulf ðedow													запирать	wird-um qulf ðōd я дал ему замок; tar wí-yum qulf ðōd я запер его; wi ðúst-ti (\\ tīr) ðêdṓw вручить, дать в руки; wi ðúst-ard ðêdṓw ударить по рукам	
růy ðêdṓw	ruy ðedow													произрастать		
sar ba-dōr čīdṓw	sar ba-dor čidow													повесить (на виселице)	tu sar ba-dṓrum я тебя повешу	
tīr ðêdṓw	tir ðedow													подниматься		
tīr-čūb	tir-čub													палочка для поднятия покрывала новобрачной		
ulō akbár!	ulo akbar!													бог велик!		
vār ðêdṓw	var ðedow													мочь		
wūrv ðêdṓw	wurv ðedow													кипеть		
x̌ac-and xu ðêdṓw	xac-and xu ðedow													купаться, мыться		
xōmák	xomak													свой дядя 		(<xu amák)
x̌ōy-buš	xoy-buš													дикий кот		
xu zārā́ bōδ δêδṓw	xu zara boδ δeδow													трусить, пугаться		
xušōmád-barōmád čīdṓw	xušomad-baromad čidow													приветствовать (гостей)		
yi lāv	yi lav													часть, немного, некоторое количество, несколько	yi lāv... yi lāv часть... часть; yi lā́v-ga а (еще) некоторые, а (еще) немного; yi lāv ǰōyḗn-and в некоторых местах; yi lā́v-and... yi lā́v-and у одних.., у других.., у третьих; yi lav waxt mis yast didi... иногда бывает так, что..	
yōδ anǰīvdṓw	yoδ anjivdow													учиться, научиться		
yōδ anǰīvdṓw	yoδ anjivdow													учиться		
γāc	γac													девушка, девочка	γāc-bic маленькая девочка	
γāc-bačā́	γac-bača													девочка		
γācgalā́	γacgala													девчонки, девочки, девушки, девицы		
