shughni	easy_shughni	variant	fem	pst	pst.f	pst.pl	prs.3sg	ptcp	ptcp.f	ptcp.pl	inf	plural	russian	example	comment
tarðḗn	tarðen,tarðent,tarðenč,tarðentow			tarðḗnt				tarðḗnč			tarðēntṓw		стравливать, натравливать		
tarēd	tared												здесь, тут, там, сюда, туда (о предметах среднего удаления)	ik-tarḗd именно здесь, как раз там; tarēd-(d)í подальше	
tarma-tarí	tarmatari												снег, смешанный с дождем, весенняя распутица	xub, bōrů́n ðōd xu, bā́di tar tarmo-tarí garðḗnt прошел сильный дождь, потом стал идти (дождь) вместе со снегом	
tarmúrx	tarmurx												яйцо	mūrʒák  tarmúrx муравьиные яйца	м.
tarsák	tarsak,tarsakðorg	tarsak-ðōrg											деревянная поперечина, при помощи которой вертикальная ноша (cuq-wīz) прикрепляется к лямке (ǰix̌c)		
tarsů́n-tarsůn	tarsuntarsun												боязливо, опасливо	yu γiðā́ tarsů́n-tarsůn tar wōx̌ǰī́c sut тот парень с опаской пошел на сеновал	
tartī́b	tartib												порядок		
tarůd	tarud,taru	tarů											здесь, сюда	as mi tarůd с этих пор; tarůd čldṓw сблизить, придвинуть поближе; tarůd-taram туда-сюда	
tarwíd	tarwid												очкур, гашник, вздержка у штанов		
taryok	taryok												опиум		ж.
taryokí	taryoki												курильщик опиума		
tāsī́l	tasil												обучение	tāsīli umūmi (нов.) всеобщее обучение	
tāsī́r	tasir												влияние		
taškíl	taškil												организация, устройство	taškil ðêdōw организовать, устроить; taškil síttōw сорганизоваться	(нов.)
taškīlṓt	taškilottaškiloten											taškīlōtḗn	организация,  учреждение		(нов.)
taslim	taslim												сдача, вручение; капитуляция		(нов.)
tasma	tasma												ремень	tasma tiždōw вырезать ремень	
tašwīqṓt	tašwiqot												агитация, пропаганда		(нов.)
tašwīqōtčí	tašwiqotči,tašwiqottar	tašwīqōttā́r											агитатор, пропагандист		(нов.)
tašwī́š	tašwiš												забота		
tāt	tat												отец	a-(tā)t батюшка! (обращение к отцу и старшим)	
tavā́r	tavar												топор		
tavů́ng	tavung												мельничный ящик для ссыпки муки		
tawaǰí	tawaji												мольба, жалоба	tawaǰí čīdṓw умолять; ik-důnd zōrgḗ-t tawaǰí murd čūd didi, múrd-aθ mis rām yat он так рыдал и умолял меня, что мне стало его жалко	(обычно в сочетании с zōrgí)
tawakál	tawakal												упование, надежда (на судьбу, на бога)	baxt as tawakál, wúz-ta x̌ṓyum! бог поможет, примусь учиться! tawakál bar xudṓ, wúz-um tūyd! упование на бога, я пошел!	
tawbā́	tawba,tuba	tūbā́											зарок, раскаяние	tawbā́ čīdṓw каяться, закаяться, зарекаться	
tax	tax												вытряхивание, встряхивание, выколачивание	tax ðêdṓw (ðāð) вытряхивать, выколачивать; kampī́r xu tambů́n (lāqḗn) tax ðīd старуха вытряхивает свои штаны (лохмотья) (говорится, когда гремит гром)	
tāx	tax												гора, скала	tāx пůl верхушка (вершина) горы	ж.
taxlī́t	taxlit												жеманство, игривость, кокетство, каприз	yā důnd náy-at, wam nṓz-at wam taxlī́t!.. сама она не очень-то (красива), но ее кокетство и жеманство!..; taxlī́t čīdṓw капризничать, жеманничать, кокетничать, ломаться; čiz ik-důnd nṓz-at taxlī́t kiní? что ты так ломаешься?	
taxmīnán	taxminan												приблизительно, примерно		
taxsī́r	taxsir												господин (обращение); простите, извините!		
tāxt	taxt,taxt	taxt											трон, престол; кровать, койка	bīr tāxt-ti wēð постели постель на кровать; ba táxt-at baxt мирно и спокойно; благополучно	
taxtā́	taxta												доска, плита	taxta-sang каменная плита, плоский камень	
taxta-bandí	taxtabandi												частокол, тын, забор		
tāyī́n	tayin												достоверный, несомненный, доподлинный, определенный	ik-íd kōr tāyī́n, fúkaθ di wizů́nēn это не подлежит никакому сомнению, все это знают; tāyī́n čīdṓw назначать, определять; wí-yēn dirḗktur tāyī́n čūd его назначили директором; tāyīnánd достоверно, несомненно, доподлинно, точно; a-rō, wuz ik-di kōr wizůnum; dí-yi tāyīnánd Mastibēk čūγ̌ǰ послушай, я это дело знаю; это несомненно сделал Мастибек	
tayṓq	tayoq												палка	yu pīnʒ sṓl-ī x̌êyd atā γal alī́f as tayṓq na fāmt он пять лет учился, а не может отличить алифа от палки; sāw, yi tayṓq vār, tavā́r-ard dastā́ kīm пойди принеси палку, я сделаю топорище	
tayṓr	tayor												готовый, изготовленный, приготовленный	mā́š-ām tayṓr мы готовы; tayṓr čīdṓw готовить, приготовлять, изготовлять; оканчивать; tayṓr-kunī́ǰ заготовитель, заготовщик, заготовляющий; tayṓr sittṓw (о)кончиться; agár tamōkí tayṓr sůd... если же табак кончится. ..; bā́di aráy-at-cavṓr mḗθ-ta mardīnagů́n xu yēlḗn mīzdṓw tayṓrēn xu yádēn через три-четыре дня мужчины оканчивают устройство летовья и приезжают	
